Product Name,Price,Color,Product Link,Image Link
Cotton-blend leggings,Rs.799.00,Black,https://www2.hm.com/en_in/productpage.0768912001.html,"https://lp2.hm.com/hmgoepprod?set=source[/dd/95/dd954848eec1d6cc5ff788dd0f10b63fe7e538f1.jpg],origin[dam],category[ladies_trousers_leggings],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Ribbed modal-blend top,Rs.799.00,Light blue,https://www2.hm.com/en_in/productpage.0999727033.html,"https://lp2.hm.com/hmgoepprod?set=source[/42/cb/42cbe3e4eb448eccc68d1a2ba64826059f4e8a08.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Corset-style top,"Rs.1,399.00",Cream,https://www2.hm.com/en_in/productpage.1224941001.html,"https://lp2.hm.com/hmgoepprod?set=source[/a6/5e/a65e0b7f489f1e725dbb176ebe272877d17867e0.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
3-pack cotton shortie briefs,"Rs.1,299.00",Black,https://www2.hm.com/en_in/productpage.1109278001.html,"https://lp2.hm.com/hmgoepprod?set=source[/79/71/7971cde507a4875a30ba292c9e52dff405373195.jpg],origin[dam],category[],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]"
Ribbed modal-blend T-shirt,Rs.799.00,Light khaki green,https://www2.hm.com/en_in/productpage.1157799017.html,"https://lp2.hm.com/hmgoepprod?set=source[/61/70/61709c7bd6fbf9acaecd2282b50b88c32a3f6323.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Non-padded underwired lace bra,"Rs.1,299.00",Black,https://www2.hm.com/en_in/productpage.1215494001.html,"https://lp2.hm.com/hmgoepprod?set=source[/58/20/582006a23d9cd89e982e2e2007589380e19b99c8.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Gathered-sleeve blazer,"Rs.3,599.00",Navy blue,https://www2.hm.com/en_in/productpage.1124589016.html,"https://lp2.hm.com/hmgoepprod?set=source[/fc/0a/fc0ad2f9056559738a240dc7a84d377bcaaefe4a.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Oversized zip-through hoodie,"Rs.1,999.00",Black,https://www2.hm.com/en_in/productpage.1139538001.html,"https://lp2.hm.com/hmgoepprod?set=source[/a8/e9/a8e9c51df954bfa3b06679ec585041068201c7a1.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Trench-look jacket,"Rs.2,999.00",Dark beige,https://www2.hm.com/en_in/productpage.1202762001.html,"https://lp2.hm.com/hmgoepprod?set=source[/55/4e/554eabdc7a45d927e8c3d0ec66aa9648935d83a3.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Ribbed modal-blend T-shirt,Rs.799.00,Black,https://www2.hm.com/en_in/productpage.1157799007.html,"https://lp2.hm.com/hmgoepprod?set=source[/02/7b/027bb6cf418ce8abafef19ab036f23f040310f25.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Rib-knit zip-through cardigan,"Rs.1,499.00",Natural white,https://www2.hm.com/en_in/productpage.1189116004.html,"https://lp2.hm.com/hmgoepprod?set=source[/4d/e8/4de8a32fb7f241549cfe20a4f1a5fc585687ae74.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Linen wrap top,"Rs.2,999.00",Black,https://www2.hm.com/en_in/productpage.1216736002.html,"https://lp2.hm.com/hmgoepprod?set=source[/53/05/5305d3de9c7a5807764e84fc490fb2902b717d05.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Wide trousers,"Rs.2,699.00",Light beige,https://www2.hm.com/en_in/productpage.1090271033.html,"https://lp2.hm.com/hmgoepprod?set=source[/36/e3/36e3d8b4b51b4b445a267f08b883de796352e8f6.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[2]&call=url[file:/product/style]"
Zip-through hoodie,"Rs.1,499.00",Light greige,https://www2.hm.com/en_in/productpage.1213772004.html,"https://lp2.hm.com/hmgoepprod?set=source[/28/1d/281d0aa5fa4a3bd1f10cca6594f7390cbe90810f.jpg],origin[dam],category[ladies_basics_tops_longsleeve],type[DESCRIPTIVESTILLLIFE],res[m],hmver[2]&call=url[file:/product/style]"
Wide High Ankle Jeans,"Rs.1,999.00",Light denim blue,https://www2.hm.com/en_in/productpage.1214568001.html,"https://lp2.hm.com/hmgoepprod?set=source[/24/f6/24f6a431a5f302c7158b5ba65040157cba1be0ca.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Linen trousers,"Rs.2,299.00",Beige/Striped,https://www2.hm.com/en_in/productpage.1216368003.html,"https://lp2.hm.com/hmgoepprod?set=source[/63/fd/63fdbf8fed32d83fca09b14719aa65f8fa2ae371.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Hooded top,"Rs.1,499.00",Black,https://www2.hm.com/en_in/productpage.0456163060.html,"https://lp2.hm.com/hmgoepprod?set=source[/0e/ae/0eae25c40aa6eab870cb0387089c10f08b43ed10.jpg],origin[dam],category[ladies_basics_tops_longsleeve],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Textured crossbody bag,"Rs.2,299.00",Cream,https://www2.hm.com/en_in/productpage.1221370001.html,"https://lp2.hm.com/hmgoepprod?set=source[/6a/ff/6affb8e27ed460bf14b9e3c63cae0e63ac201eb7.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Denim shirt,"Rs.1,999.00",Denim blue,https://www2.hm.com/en_in/productpage.1208392002.html,"https://lp2.hm.com/hmgoepprod?set=source[/25/8d/258d86a30f8dd87b672fca9b3adc7321962aedec.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
Baggy Wide Low Jeans,"Rs.2,699.00",Dark grey,https://www2.hm.com/en_in/productpage.1199190006.html,"https://lp2.hm.com/hmgoepprod?set=source[/31/63/31633b7ac1ea0fc65510b9d8fd4b33ca225c410f.jpg],origin[dam],category[],type[LOOKBOOK],res[m],hmver[1]&call=url[file:/product/style]"
